"siteId","nctId","title","therapeuticArea","phase","overallStatus","sponsor","sponsorClass","facility","siteStatus","city","state","zip","country","latitude","longitude","contactCount","emailContactCount","phoneContactCount"
"NCT07361302-SITE-40","NCT07361302","A Study to Test if Tenecteplase Helps People to Recover From an Acute Stroke When Given More Than 4.5 Hours After the Person Was Last Seen Well","Neurology / CNS","Phase 3","RECRUITING","Boehringer Ingelheim","Industry","Christian Medical College, Vellore","NOT_YET_RECRUITING","Vellore","","632004","India","12.9184","79.13255","1","1","1"
"NCT07361302-SITE-41","NCT07361302","A Study to Test if Tenecteplase Helps People to Recover From an Acute Stroke When Given More Than 4.5 Hours After the Person Was Last Seen Well","Neurology / CNS","Phase 3","RECRUITING","Boehringer Ingelheim","Industry","Government Siddhartha Medical College","NOT_YET_RECRUITING","Vijayawada","","520008","India","16.50745","80.6466","1","1","1"
"NCT07361302-SITE-42","NCT07361302","A Study to Test if Tenecteplase Helps People to Recover From an Acute Stroke When Given More Than 4.5 Hours After the Person Was Last Seen Well","Neurology / CNS","Phase 3","RECRUITING","Boehringer Ingelheim","Industry","Visakha Institute of Medical Sciences","NOT_YET_RECRUITING","Visakhapatnam","","530040","India","17.68009","83.20161","1","1","1"
"NCT07361302-SITE-43","NCT07361302","A Study to Test if Tenecteplase Helps People to Recover From an Acute Stroke When Given More Than 4.5 Hours After the Person Was Last Seen Well","Neurology / CNS","Phase 3","RECRUITING","Boehringer Ingelheim","Industry","Government Medical College Vizianagaram","NOT_YET_RECRUITING","Vizianagaram","","535002","India","18.11692","83.41148","1","1","1"
"NCT07361302-SITE-44","NCT07361302","A Study to Test if Tenecteplase Helps People to Recover From an Acute Stroke When Given More Than 4.5 Hours After the Person Was Last Seen Well","Neurology / CNS","Phase 3","RECRUITING","Boehringer Ingelheim","Industry","Acharya Vinobha Bhave Rural Hospital","NOT_YET_RECRUITING","Wardha","","442004","India","20.73933","78.59784","1","1","1"
"NCT07355296-SITE-1","NCT07355296","PODOMOUNT-Basket, a Study to Test Whether BI 764198 Helps Adults and Adolescents With Different Types of Kidney Disease","Nephrology / Urology","Phase 2","RECRUITING","Boehringer Ingelheim","Industry","Aartham Multi Super Speciality Hospital","NOT_YET_RECRUITING","Ahmedabad","","380015","India","23.02579","72.58727","1","1","1"
"NCT07355296-SITE-2","NCT07355296","PODOMOUNT-Basket, a Study to Test Whether BI 764198 Helps Adults and Adolescents With Different Types of Kidney Disease","Nephrology / Urology","Phase 2","RECRUITING","Boehringer Ingelheim","Industry","AIIMS Bhubaneshwar","NOT_YET_RECRUITING","Bhubaneswar","","751019","India","20.27241","85.83385","1","1","1"
"NCT07355296-SITE-3","NCT07355296","PODOMOUNT-Basket, a Study to Test Whether BI 764198 Helps Adults and Adolescents With Different Types of Kidney Disease","Nephrology / Urology","Phase 2","RECRUITING","Boehringer Ingelheim","Industry","Government Medical College","NOT_YET_RECRUITING","Kozhikode","","673008","India","11.24802","75.7804","1","1","1"
"NCT07355296-SITE-4","NCT07355296","PODOMOUNT-Basket, a Study to Test Whether BI 764198 Helps Adults and Adolescents With Different Types of Kidney Disease","Nephrology / Urology","Phase 2","RECRUITING","Boehringer Ingelheim","Industry","Noble Hospital Pvt Ltd","NOT_YET_RECRUITING","Pune","","411013","India","18.51957","73.85535","1","1","1"
"NCT07355296-SITE-5","NCT07355296","PODOMOUNT-Basket, a Study to Test Whether BI 764198 Helps Adults and Adolescents With Different Types of Kidney Disease","Nephrology / Urology","Phase 2","RECRUITING","Boehringer Ingelheim","Industry","Galaxy Lifecare Services Pvt. Ltd.","NOT_YET_RECRUITING","Varanasi","","201010","India","25.31668","83.01041","1","1","1"
"NCT07350967-SITE-1","NCT07350967","Magnetic Compression Anastomosis Procedure for Partial Jejuno-ileal Diversion: Evaluating the Feasibility of a Novel Endoscopic Magnetic Metabolic Interventional Therapy","Endocrinology / Metabolic","Not Applicable","RECRUITING","iIDEAS Group Holdings Limited","Industry","AB Plus Speciality Hospital","RECRUITING","Ahmedabad","Gujarat","380054","India","23.02579","72.58727","1","1","1"
"NCT07343804-SITE-1","NCT07343804","THE EFFECT OF ENDODONTIC TREATMENT ON CARDIOVASCULAR RISK BIOMARKERS IN PATIENTS WITH STABLE CORONARY ARTERY DISEASE","Cardiology / Vascular","Not Applicable","RECRUITING","Postgraduate Institute of Dental Sciences Rohtak","Academic / Hospital / Other","Post Graduate institute of Dental Sciences, Rohtak","RECRUITING","Rohtak","Haryana","124001","India","28.89447","76.58917","2","2","2"
"NCT07342231-SITE-1","NCT07342231","FAPi PET in Pancreatic Ductal Adenocarcinoma","Oncology","Not Provided","RECRUITING","Tata Memorial Hospital","Government / Public sector","Tata Memorial Hospital, Mumbai, India","RECRUITING","Mumbai","Maharashtra","400012","India","19.07283","72.88261","3","2","1"
"NCT07338539-SITE-1","NCT07338539","BIO-SHORT: Biologically Guided Short-Course Hypofractionated RT for Poor-Prognosis GBM","Oncology","Phase 2","RECRUITING","Tata Memorial Centre","Academic / Hospital / Other","Tata Memorial Hospital","RECRUITING","Mumbai","Maharashtra","400012","India","19.07283","72.88261","1","1","1"
"NCT07338526-SITE-1","NCT07338526","Intensity Modulated PrOton Therapy in Pediatric BRain Tumors (IMPORT)","Oncology","Not Applicable","RECRUITING","Tata Memorial Centre","Academic / Hospital / Other","Tata Memorial Hospital","RECRUITING","Mumbai","Maharashtra","400012","India","19.07283","72.88261","1","1","1"
"NCT07337850-SITE-1","NCT07337850","Prospective Evaluation of 68Ga-FAPI PET in Biliary Cancers","Oncology","Not Provided","RECRUITING","Tata Memorial Centre","Academic / Hospital / Other","Dr.Shraddha Patkar","RECRUITING","Mumbai","Maharashtra","400012","India","19.07283","72.88261","2","2","2"
"NCT07333248-SITE-1","NCT07333248","Strengthening Community- to- Hospital Eye Care Pathways From Boko Eye Care Center in Rural Assam","Mental Health / Cognitive Health","Not Applicable","NOT_YET_RECRUITING","Seva Canada Society","Academic / Hospital / Other","Sri Sankaradeva Nethralaya","","Guwahati","Assam","781028","India","26.1844","91.7458","2","1","1"
"NCT07332676-SITE-1","NCT07332676","Building Healthy Food Environment in Schools: Evaluating Co-created Interventions in Low Resource Settings. #BetterNutrition4Adolescent","Endocrinology / Metabolic","Not Applicable","NOT_YET_RECRUITING","Norwegian University of Science and Technology","Academic / Hospital / Other","Delhi","","Delhi","","","India","28.65195","77.23149","0","0","0"
"NCT07328893-SITE-1","NCT07328893","Effect of Single Dose Intravenous Magnesium Sulfate on Postoperative Analgesic Consumption in Patients Undergoing Laparoscopic Cholecystectomy","Neurology / CNS","Phase 4","RECRUITING","Tata Main Hospital","Academic / Hospital / Other","Tata Main Hospital","RECRUITING","Jamshedpur","Jharkhand","831001","India","22.80278","86.18545","1","1","1"
"NCT07328893-SITE-2","NCT07328893","Effect of Single Dose Intravenous Magnesium Sulfate on Postoperative Analgesic Consumption in Patients Undergoing Laparoscopic Cholecystectomy","Neurology / CNS","Phase 4","RECRUITING","Tata Main Hospital","Academic / Hospital / Other","Dr.Deb Sanjay Nag","RECRUITING","Jamshedpur","Jharkhand","831011","India","22.80278","86.18545","1","1","1"
"NCT07322978-SITE-1","NCT07322978","Incidence of Splanchnic Venous Thrombosis in Acute Pancreatitis and it's Correlation With Severity of Pancreatitis","Cardiology / Vascular","Not Provided","RECRUITING","Asian Institute of Gastroenterology, India","Academic / Hospital / Other","AIG Hospital","RECRUITING","Hyderabad","Telangana","500032","India","17.38405","78.45636","1","1","1"
"NCT07322237-SITE-1","NCT07322237","DICE Study- Diastolic Improvement With Carvedilol & Empagliflozin in Patients With Cirrhosis","Cardiology / Vascular","Phase 4","RECRUITING","Post Graduate Institute of Medical Education and Research, Chandigarh","Academic / Hospital / Other","PGIMER Chandigarh","RECRUITING","Chandigarh","","160012","India","30.73629","76.7884","1","1","1"
"NCT07321886-SITE-1","NCT07321886","A Study of Eloralintide (LY3841136) in Participants With Obesity, or Overweight Without Type 2 Diabetes","Endocrinology / Metabolic","Phase 3","RECRUITING","Eli Lilly and Company","Industry","Endolife Speciality Hospitals","NOT_YET_RECRUITING","Guntur","","522001","India","16.29974","80.45729","2","0","1"
